"Altitude [m]","Temperature [Kelvin]","Pressure [pascal]","Density [kg/m3]","Speed of sound [m/s]","Viscosity [Pa.s]"
61100,242.37,17.4136,0.000250292,312.093,0.0000157445
61150,242.23,17.2912,0.000248677,312.003,0.000015737
61200,242.09,17.1697,0.000247072,311.913,0.0000157294
61250,241.95,17.0489,0.000245477,311.823,0.0000157218
61300,241.81,16.929,0.00024389,311.733,0.0000157143
61350,241.67,16.8098,0.000242313,311.642,0.0000157067
61400,241.53,16.6913,0.000240746,311.552,0.0000156991
61450,241.39,16.5737,0.000239187,311.462,0.0000156916
61500,241.25,16.4568,0.000237638,311.371,0.000015684
61550,241.11,16.3406,0.000236098,311.281,0.0000156764
61600,240.97,16.2252,0.000234567,311.191,0.0000156688
61650,240.83,16.1106,0.000233045,311.1,0.0000156613
61700,240.69,15.9967,0.000231532,311.01,0.0000156537
61750,240.55,15.8835,0.000230028,310.919,0.0000156461
61800,240.41,15.7711,0.000228533,310.829,0.0000156385
61850,240.27,15.6594,0.000227046,310.738,0.0000156309
61900,240.13,15.5485,0.000225569,310.648,0.0000156233
61950,239.99,15.4382,0.0002241,310.557,0.0000156158
62000,239.85,15.3287,0.00022264,310.467,0.0000156082
62050,239.71,15.2199,0.000221189,310.376,0.0000156006
62100,239.57,15.1118,0.000219746,310.285,0.000015593
62150,239.43,15.0044,0.000218312,310.195,0.0000155854
62200,239.29,14.8977,0.000216886,310.104,0.0000155778
62250,239.15,14.7917,0.000215469,310.013,0.0000155702
62300,239.01,14.6864,0.000214061,309.922,0.0000155626
62350,238.87,14.5818,0.00021266,309.832,0.000015555
62400,238.73,14.4778,0.000211268,309.741,0.0000155474
62450,238.59,14.3746,0.000209885,309.65,0.0000155397
62500,238.45,14.272,0.000208509,309.559,0.0000155321
62550,238.31,14.1701,0.000207142,309.468,0.0000155245
62600,238.17,14.0689,0.000205783,309.377,0.0000155169
62650,238.03,13.9683,0.000204432,309.286,0.0000155093
62700,237.89,13.8684,0.00020309,309.195,0.0000155017
62750,237.75,13.7691,0.000201755,309.104,0.000015494
62800,237.61,13.6705,0.000200428,309.013,0.0000154864
62850,237.47,13.5726,0.000199109,308.922,0.0000154788
62900,237.33,13.4753,0.000197798,308.831,0.0000154712
62950,237.19,13.3786,0.000196495,308.74,0.0000154635
63000,237.05,13.2826,0.0001952,308.649,0.0000154559
63050,236.91,13.1872,0.000193913,308.558,0.0000154483
63100,236.77,13.0924,0.000192633,308.467,0.0000154406
63150,236.63,12.9983,0.000191361,308.376,0.000015433
63200,236.49,12.9047,0.000190097,308.284,0.0000154254
63250,236.35,12.8118,0.00018884,308.193,0.0000154177
63300,236.21,12.7196,0.000187591,308.102,0.0000154101
63350,236.07,12.6279,0.000186349,308.01,0.0000154024
63400,235.93,12.5368,0.000185115,307.919,0.0000153948
63450,235.79,12.4463,0.000183888,307.828,0.0000153871
63500,235.65,12.3565,0.000182669,307.736,0.0000153795
63550,235.51,12.2672,0.000181457,307.645,0.0000153718
63600,235.37,12.1785,0.000180253,307.553,0.0000153642
63650,235.23,12.0904,0.000179055,307.462,0.0000153565
63700,235.09,12.0029,0.000177865,307.37,0.0000153489
63750,234.95,11.916,0.000176682,307.279,0.0000153412
63800,234.81,11.8297,0.000175507,307.187,0.0000153335
63850,234.67,11.7439,0.000174338,307.096,0.0000153259
63900,234.53,11.6587,0.000173177,307.004,0.0000153182
63950,234.39,11.5741,0.000172022,306.913,0.0000153106
64000,234.25,11.49,0.000170875,306.821,0.0000153029
64050,234.11,11.4065,0.000169735,306.729,0.0000152952
64100,233.97,11.3235,0.000168601,306.637,0.0000152875
64150,233.83,11.2412,0.000167474,306.546,0.0000152799
64200,233.69,11.1593,0.000166355,306.454,0.0000152722
64250,233.55,11.078,0.000165242,306.362,0.0000152645
64300,233.41,10.9973,0.000164136,306.27,0.0000152568
64350,233.27,10.917,0.000163036,306.178,0.0000152491
64400,233.13,10.8374,0.000161944,306.086,0.0000152414
64450,232.99,10.7582,0.000160858,305.995,0.0000152338
64500,232.85,10.6796,0.000159778,305.903,0.0000152261
64550,232.71,10.6015,0.000158706,305.811,0.0000152184
64600,232.57,10.524,0.000157639,305.719,0.0000152107
64650,232.43,10.447,0.00015658,305.627,0.000015203
64700,232.29,10.3704,0.000155527,305.535,0.0000151953
64750,232.15,10.2944,0.00015448,305.442,0.0000151876
64800,232.01,10.2189,0.00015344,305.35,0.0000151799
64850,231.87,10.144,0.000152406,305.258,0.0000151722
64900,231.73,10.0695,0.000151378,305.166,0.0000151645
64950,231.59,9.99551,0.000150357,305.074,0.0000151568
65000,231.45,9.92203,0.000149342,304.982,0.0000151491
65050,231.31,9.84905,0.000148333,304.889,0.0000151414
65100,231.17,9.77656,0.000147331,304.797,0.0000151336
65150,231.03,9.70457,0.000146334,304.705,0.0000151259
65200,230.89,9.63306,0.000145344,304.612,0.0000151182
65250,230.75,9.56203,0.00014436,304.52,0.0000151105
65300,230.61,9.49149,0.000143382,304.428,0.0000151028
65350,230.47,9.42142,0.00014241,304.335,0.000015095
65400,230.33,9.35183,0.000141444,304.243,0.0000150873
65450,230.19,9.28271,0.000140484,304.15,0.0000150796
65500,230.05,9.21406,0.00013953,304.058,0.0000150719
65550,229.91,9.14588,0.000138582,303.965,0.0000150641
65600,229.77,9.07816,0.000137639,303.873,0.0000150564
65650,229.63,9.0109,0.000136703,303.78,0.0000150487
65700,229.49,8.9441,0.000135772,303.688,0.0000150409
65750,229.35,8.87775,0.000134847,303.595,0.0000150332
65800,229.21,8.81186,0.000133928,303.502,0.0000150254
65850,229.07,8.74641,0.000133015,303.409,0.0000150177
65900,228.93,8.68141,0.000132107,303.317,0.00001501
65950,228.79,8.61686,0.000131205,303.224,0.0000150022
66000,228.65,8.55275,0.000130308,303.131,0.0000149945
66050,228.51,8.48907,0.000129417,303.038,0.0000149867
66100,228.37,8.42583,0.000128532,302.946,0.000014979
66150,228.23,8.36302,0.000127652,302.853,0.0000149712
66200,228.09,8.30064,0.000126778,302.76,0.0000149634
66250,227.95,8.23869,0.000125909,302.667,0.0000149557
66300,227.81,8.17717,0.000125046,302.574,0.0000149479
66350,227.67,8.11607,0.000124187,302.481,0.0000149402
66400,227.53,8.05538,0.000123335,302.388,0.0000149324
66450,227.39,7.99512,0.000122487,302.295,0.0000149246
66500,227.25,7.93526,0.000121645,302.202,0.0000149169
66550,227.11,7.87582,0.000120809,302.109,0.0000149091
66600,226.97,7.81679,0.000119977,302.016,0.0000149013
66650,226.83,7.75816,0.000119151,301.922,0.0000148935
66700,226.69,7.69994,0.00011833,301.829,0.0000148858
66750,226.55,7.64212,0.000117514,301.736,0.000014878
66800,226.41,7.5847,0.000116703,301.643,0.0000148702
66850,226.27,7.52767,0.000115897,301.549,0.0000148624
66900,226.13,7.47104,0.000115096,301.456,0.0000148546
66950,225.99,7.4148,0.000114301,301.363,0.0000148468
67000,225.85,7.35895,0.00011351,301.269,0.000014839
67050,225.71,7.30349,0.000112724,301.176,0.0000148313
67100,225.57,7.24841,0.000111944,301.083,0.0000148235
67150,225.43,7.19371,0.000111168,300.989,0.0000148157
67200,225.29,7.13939,0.000110397,300.896,0.0000148079
67250,225.15,7.08544,0.000109631,300.802,0.0000148001
67300,225.01,7.03187,0.00010887,300.709,0.0000147923
67350,224.87,6.97868,0.000108113,300.615,0.0000147845
67400,224.73,6.92585,0.000107362,300.522,0.0000147767
67450,224.59,6.87339,0.000106615,300.428,0.0000147688
67500,224.45,6.8213,0.000105873,300.334,0.000014761
67550,224.31,6.76956,0.000105136,300.241,0.0000147532
67600,224.17,6.71819,0.000104403,300.147,0.0000147454
67650,224.03,6.66718,0.000103675,300.053,0.0000147376
67700,223.89,6.61652,0.000102952,299.959,0.0000147298
67750,223.75,6.56622,0.000102233,299.866,0.000014722
67800,223.61,6.51626,0.000101519,299.772,0.0000147141
67850,223.47,6.46666,0.000100809,299.678,0.0000147063
67900,223.33,6.4174,0.000100104,299.584,0.0000146985
67950,223.19,6.36849,0.0000994031,299.49,0.0000146907
68000,223.05,6.31992,0.0000987069,299.396,0.0000146828
68050,222.91,6.27169,0.0000980152,299.302,0.000014675
68100,222.77,6.2238,0.0000973279,299.208,0.0000146672
68150,222.63,6.17625,0.0000966449,299.114,0.0000146593
68200,222.49,6.12902,0.0000959663,299.02,0.0000146515
68250,222.35,6.08213,0.0000952921,298.926,0.0000146436
68300,222.21,6.03557,0.0000946222,298.832,0.0000146358
68350,222.07,5.98934,0.0000939566,298.738,0.000014628
68400,221.93,5.94343,0.0000932952,298.644,0.0000146201
68450,221.79,5.89785,0.0000926381,298.549,0.0000146123
68500,221.65,5.85259,0.0000919852,298.455,0.0000146044
68550,221.51,5.80764,0.0000913366,298.361,0.0000145966
68600,221.37,5.76302,0.000090692,298.266,0.0000145887
68650,221.23,5.7187,0.0000900516,298.172,0.0000145808
68700,221.09,5.6747,0.0000894154,298.078,0.000014573
68750,220.95,5.63102,0.0000887832,297.983,0.0000145651
68800,220.81,5.58764,0.0000881551,297.889,0.0000145573
68850,220.67,5.54456,0.0000875311,297.795,0.0000145494
68900,220.53,5.5018,0.0000869111,297.7,0.0000145415
68950,220.39,5.45933,0.000086295,297.606,0.0000145336
69000,220.25,5.41717,0.000085683,297.511,0.0000145258
69050,220.11,5.37531,0.0000850749,297.416,0.0000145179
69100,219.97,5.33374,0.0000844708,297.322,0.00001451
69150,219.83,5.29247,0.0000838705,297.227,0.0000145021
69200,219.69,5.25149,0.0000832742,297.133,0.0000144943
69250,219.55,5.2108,0.0000826817,297.038,0.0000144864
69300,219.41,5.17041,0.000082093,296.943,0.0000144785
69350,219.27,5.1303,0.0000815082,296.848,0.0000144706
69400,219.13,5.09047,0.0000809272,296.754,0.0000144627
69450,218.99,5.05093,0.0000803499,296.659,0.0000144548
69500,218.85,5.01168,0.0000797764,296.564,0.0000144469
69550,218.71,4.9727,0.0000792067,296.469,0.000014439
69600,218.57,4.934,0.0000786406,296.374,0.0000144312
69650,218.43,4.89558,0.0000780782,296.279,0.0000144233
69700,218.29,4.85743,0.0000775195,296.184,0.0000144154
69750,218.15,4.81956,0.0000769644,296.089,0.0000144074
69800,218.01,4.78196,0.000076413,295.994,0.0000143995
69850,217.87,4.74462,0.0000758651,295.899,0.0000143916
69900,217.73,4.70756,0.0000753209,295.804,0.0000143837
69950,217.59,4.67076,0.0000747802,295.709,0.0000143758
70000,217.45,4.63422,0.000074243,295.614,0.0000143679
70050,217.31,4.59795,0.0000737093,295.519,0.00001436
70100,217.17,4.56194,0.0000731792,295.423,0.0000143521
70150,217.03,4.52618,0.0000726525,295.328,0.0000143441
70200,216.89,4.49069,0.0000721293,295.233,0.0000143362
70250,216.75,4.45545,0.0000716095,295.138,0.0000143283
70300,216.61,4.42046,0.0000710931,295.042,0.0000143204
70350,216.47,4.38573,0.0000705801,294.947,0.0000143124
70400,216.33,4.35125,0.0000700705,294.852,0.0000143045
70450,216.19,4.31701,0.0000695642,294.756,0.0000142966
70500,216.05,4.28303,0.0000690613,294.661,0.0000142886
70550,215.91,4.24929,0.0000685617,294.565,0.0000142807
70600,215.77,4.21579,0.0000680654,294.47,0.0000142728
70650,215.63,4.18254,0.0000675723,294.374,0.0000142648
70700,215.49,4.14952,0.0000670825,294.279,0.0000142569
70750,215.35,4.11675,0.000066596,294.183,0.0000142489
70800,215.21,4.08422,0.0000661126,294.087,0.000014241
70850,215.07,4.05192,0.0000656325,293.992,0.000014233
70900,214.93,4.01985,0.0000651555,293.896,0.0000142251
70950,214.79,3.98802,0.0000646817,293.8,0.0000142171
71000,214.65,3.95642,0.000064211,293.704,0.0000142092
71050,214.55,3.92505,0.0000637316,293.636,0.0000142035
71100,214.45,3.89392,0.0000632556,293.568,0.0000141978
71150,214.35,3.86302,0.0000627829,293.499,0.0000141921
71200,214.25,3.83235,0.0000623136,293.431,0.0000141864
71250,214.15,3.80191,0.0000618475,293.362,0.0000141808
71300,214.05,3.7717,0.0000613847,293.294,0.0000141751
71350,213.95,3.74171,0.0000609251,293.225,0.0000141694
71400,213.85,3.71195,0.0000604688,293.157,0.0000141637
71450,213.75,3.68241,0.0000600156,293.088,0.000014158
71500,213.65,3.6531,0.0000595657,293.019,0.0000141523
71550,213.55,3.624,0.0000591189,292.951,0.0000141466
71600,213.45,3.59512,0.0000586753,292.882,0.0000141409
71650,213.35,3.56646,0.0000582348,292.814,0.0000141352
71700,213.25,3.53801,0.0000577974,292.745,0.0000141295
71750,213.15,3.50978,0.0000573631,292.676,0.0000141238
71800,213.05,3.48176,0.0000569318,292.608,0.0000141181
71850,212.95,3.45395,0.0000565036,292.539,0.0000141124
71900,212.85,3.42634,0.0000560784,292.47,0.0000141067
71950,212.75,3.39895,0.0000556562,292.402,0.000014101
72000,212.65,3.37176,0.000055237,292.333,0.0000140953
72050,212.55,3.34478,0.0000548207,292.264,0.0000140896
72100,212.45,3.318,0.0000544074,292.195,0.0000140839
72150,212.35,3.29143,0.000053997,292.127,0.0000140782
72200,212.25,3.26505,0.0000535895,292.058,0.0000140725
72250,212.15,3.23887,0.000053185,291.989,0.0000140668
72300,212.05,3.21289,0.0000527832,291.92,0.000014061
72350,211.95,3.18711,0.0000523843,291.851,0.0000140553
72400,211.85,3.16152,0.0000519883,291.783,0.0000140496
72450,211.75,3.13612,0.000051595,291.714,0.0000140439
72500,211.65,3.11092,0.0000512046,291.645,0.0000140382
72550,211.55,3.08591,0.0000508169,291.576,0.0000140325
72600,211.45,3.06109,0.000050432,291.507,0.0000140268
72650,211.35,3.03645,0.0000500498,291.438,0.000014021
72700,211.25,3.012,0.0000496703,291.369,0.0000140153
72750,211.15,2.98774,0.0000492936,291.3,0.0000140096
72800,211.05,2.96366,0.0000489195,291.231,0.0000140039
72850,210.95,2.93977,0.000048548,291.162,0.0000139981
72900,210.85,2.91605,0.0000481793,291.093,0.0000139924
72950,210.75,2.89252,0.0000478131,291.024,0.0000139867
73000,210.65,2.86917,0.0000474496,290.955,0.000013981
73050,210.55,2.84599,0.0000470886,290.886,0.0000139752
73100,210.45,2.82299,0.0000467302,290.817,0.0000139695
73150,210.35,2.80016,0.0000463744,290.748,0.0000139638
73200,210.25,2.77751,0.0000460212,290.679,0.0000139581
73250,210.15,2.75503,0.0000456704,290.609,0.0000139523
73300,210.05,2.73272,0.0000453222,290.54,0.0000139466
73350,209.95,2.71058,0.0000449764,290.471,0.0000139409
73400,209.85,2.68861,0.0000446331,290.402,0.0000139351
73450,209.75,2.66681,0.0000442923,290.333,0.0000139294
73500,209.65,2.64518,0.000043954,290.264,0.0000139236
73550,209.55,2.62371,0.000043618,290.194,0.0000139179
73600,209.45,2.6024,0.0000432845,290.125,0.0000139122
73650,209.35,2.58126,0.0000429533,290.056,0.0000139064
73700,209.25,2.56028,0.0000426246,289.987,0.0000139007
73750,209.15,2.53946,0.0000422982,289.917,0.0000138949
73800,209.05,2.5188,0.0000419741,289.848,0.0000138892
73850,208.95,2.4983,0.0000416524,289.779,0.0000138834
73900,208.85,2.47795,0.0000413329,289.709,0.0000138777
73950,208.75,2.45776,0.0000410158,289.64,0.000013872
74000,208.65,2.43773,0.000040701,289.57,0.0000138662
74050,208.55,2.41785,0.0000403884,289.501,0.0000138605
74100,208.45,2.39812,0.0000400781,289.432,0.0000138547
74150,208.35,2.37854,0.00003977,289.362,0.000013849
74200,208.25,2.35912,0.0000394642,289.293,0.0000138432
74250,208.15,2.33984,0.0000391605,289.223,0.0000138374
74300,208.05,2.32071,0.000038859,289.154,0.0000138317
74350,207.95,2.30173,0.0000385598,289.084,0.0000138259
74400,207.85,2.2829,0.0000382626,289.015,0.0000138202
74450,207.75,2.26421,0.0000379677,288.945,0.0000138144
74500,207.65,2.24567,0.0000376748,288.876,0.0000138087
74550,207.55,2.22726,0.0000373841,288.806,0.0000138029
74600,207.45,2.209,0.0000370955,288.737,0.0000137971
74650,207.35,2.19089,0.000036809,288.667,0.0000137914
74700,207.25,2.17291,0.0000365245,288.597,0.0000137856
74750,207.15,2.15507,0.0000362422,288.528,0.0000137798
74800,207.05,2.13737,0.0000359618,288.458,0.0000137741
74850,206.95,2.1198,0.0000356835,288.388,0.0000137683
74900,206.85,2.10237,0.0000354072,288.319,0.0000137625
74950,206.75,2.08508,0.000035133,288.249,0.0000137568
75000,206.65,2.06792,0.0000348607,288.179,0.000013751
75050,206.55,2.05089,0.0000345904,288.11,0.0000137452
75100,206.45,2.034,0.0000343221,288.04,0.0000137394
75150,206.35,2.01723,0.0000340557,287.97,0.0000137337
75200,206.25,2.0006,0.0000337912,287.9,0.0000137279
75250,206.15,1.98409,0.0000335287,287.83,0.0000137221
75300,206.05,1.96772,0.0000332681,287.761,0.0000137163
75350,205.95,1.95147,0.0000330094,287.691,0.0000137106
75400,205.85,1.93535,0.0000327526,287.621,0.0000137048
75450,205.75,1.91935,0.0000324977,287.551,0.000013699
75500,205.65,1.90348,0.0000322446,287.481,0.0000136932
75550,205.55,1.88773,0.0000319934,287.411,0.0000136874
75600,205.45,1.8721,0.000031744,287.341,0.0000136817
75650,205.35,1.8566,0.0000314964,287.271,0.0000136759
75700,205.25,1.84121,0.0000312507,287.201,0.0000136701
75750,205.15,1.82595,0.0000310067,287.131,0.0000136643
75800,205.05,1.81081,0.0000307645,287.061,0.0000136585
75850,204.95,1.79578,0.0000305241,286.991,0.0000136527
75900,204.85,1.78087,0.0000302855,286.921,0.0000136469
75950,204.75,1.76608,0.0000300486,286.851,0.0000136411
76000,204.65,1.7514,0.0000298135,286.781,0.0000136353
76050,204.55,1.73684,0.0000295801,286.711,0.0000136295
76100,204.45,1.7224,0.0000293484,286.641,0.0000136237
76150,204.35,1.70806,0.0000291184,286.571,0.0000136179
76200,204.25,1.69384,0.0000288901,286.501,0.0000136122
76250,204.15,1.67973,0.0000286634,286.431,0.0000136064
76300,204.05,1.66573,0.0000284385,286.361,0.0000136006
76350,203.95,1.65184,0.0000282152,286.29,0.0000135948
76400,203.85,1.63806,0.0000279935,286.22,0.0000135889
76450,203.75,1.62439,0.0000277735,286.15,0.0000135831
76500,203.65,1.61082,0.0000275551,286.08,0.0000135773
76550,203.55,1.59737,0.0000273383,286.01,0.0000135715
76600,203.45,1.58401,0.0000271231,285.939,0.0000135657
76650,203.35,1.57077,0.0000269095,285.869,0.0000135599
76700,203.25,1.55762,0.0000266975,285.799,0.0000135541
76750,203.15,1.54459,0.000026487,285.728,0.0000135483
76800,203.05,1.53165,0.0000262781,285.658,0.0000135425
76850,202.95,1.51882,0.0000260708,285.588,0.0000135367
76900,202.85,1.50608,0.000025865,285.517,0.0000135309
76950,202.75,1.49345,0.0000256607,285.447,0.000013525
77000,202.65,1.48092,0.0000254579,285.377,0.0000135192
77050,202.55,1.46848,0.0000252566,285.306,0.0000135134
77100,202.45,1.45615,0.0000250568,285.236,0.0000135076
77150,202.35,1.44391,0.0000248585,285.165,0.0000135018
77200,202.25,1.43177,0.0000246617,285.095,0.000013496
77250,202.15,1.41973,0.0000244663,285.024,0.0000134901
77300,202.05,1.40778,0.0000242724,284.954,0.0000134843
77350,201.95,1.39592,0.00002408,284.883,0.0000134785
77400,201.85,1.38416,0.0000238889,284.813,0.0000134727
77450,201.75,1.3725,0.0000236993,284.742,0.0000134668
77500,201.65,1.36092,0.0000235111,284.672,0.000013461
77550,201.55,1.34944,0.0000233243,284.601,0.0000134552
77600,201.45,1.33805,0.0000231389,284.53,0.0000134493
77650,201.35,1.32675,0.0000229549,284.46,0.0000134435
77700,201.25,1.31554,0.0000227722,284.389,0.0000134377
77750,201.15,1.30442,0.0000225909,284.318,0.0000134318
77800,201.05,1.29338,0.000022411,284.248,0.000013426
77850,200.95,1.28244,0.0000222324,284.177,0.0000134202
77900,200.85,1.27158,0.0000220551,284.106,0.0000134143
77950,200.75,1.26081,0.0000218792,284.036,0.0000134085
78000,200.65,1.25012,0.0000217046,283.965,0.0000134027
78050,200.55,1.23952,0.0000215313,283.894,0.0000133968
78100,200.45,1.22901,0.0000213593,283.823,0.000013391
78150,200.35,1.21858,0.0000211886,283.753,0.0000133851
78200,200.25,1.20823,0.0000210191,283.682,0.0000133793
78250,200.15,1.19796,0.000020851,283.611,0.0000133735
78300,200.05,1.18778,0.0000206841,283.54,0.0000133676
78350,199.95,1.17768,0.0000205184,283.469,0.0000133618
78400,199.85,1.16766,0.000020354,283.398,0.0000133559
78450,199.75,1.15772,0.0000201908,283.327,0.0000133501
78500,199.65,1.14786,0.0000200289,283.256,0.0000133442
78550,199.55,1.13808,0.0000198682,283.185,0.0000133384
78600,199.45,1.12837,0.0000197087,283.114,0.0000133325
78650,199.35,1.11875,0.0000195504,283.043,0.0000133267
78700,199.25,1.1092,0.0000193932,282.972,0.0000133208
78750,199.15,1.09973,0.0000192373,282.901,0.0000133149
78800,199.05,1.09034,0.0000190826,282.83,0.0000133091
78850,198.95,1.08102,0.000018929,282.759,0.0000133032
78900,198.85,1.07177,0.0000187765,282.688,0.0000132974
78950,198.75,1.0626,0.0000186253,282.617,0.0000132915
79000,198.65,1.05351,0.0000184751,282.546,0.0000132856
79050,198.55,1.04449,0.0000183261,282.475,0.0000132798
79100,198.45,1.03554,0.0000181783,282.404,0.0000132739
79150,198.35,1.02666,0.0000180315,282.333,0.0000132681
79200,198.25,1.01785,0.0000178859,282.262,0.0000132622
79250,198.15,1.00912,0.0000177413,282.19,0.0000132563
79300,198.05,1.00045,0.0000175979,282.119,0.0000132504
79350,197.95,0.991861,0.0000174555,282.048,0.0000132446
79400,197.85,0.983336,0.0000173143,281.977,0.0000132387
79450,197.75,0.974881,0.0000171741,281.905,0.0000132328
79500,197.65,0.966494,0.0000170349,281.834,0.000013227
79550,197.55,0.958175,0.0000168969,281.763,0.0000132211
79600,197.45,0.949924,0.0000167598,281.691,0.0000132152
79650,197.35,0.941739,0.0000166239,281.62,0.0000132093
79700,197.25,0.933621,0.0000164889,281.549,0.0000132035
79750,197.15,0.925569,0.000016355,281.477,0.0000131976
79800,197.05,0.917582,0.0000162221,281.406,0.0000131917
79850,196.95,0.90966,0.0000160902,281.335,0.0000131858
79900,196.85,0.901803,0.0000159593,281.263,0.0000131799
79950,196.75,0.89401,0.0000158294,281.192,0.000013174
80000,196.65,0.88628,0.0000157005,281.12,0.0000131682
80050,196.55,0.878612,0.0000155726,281.049,0.0000131623
80100,196.45,0.871008,0.0000154457,280.977,0.0000131564
80150,196.35,0.863465,0.0000153198,280.906,0.0000131505
80200,196.25,0.855984,0.0000151948,280.834,0.0000131446
80250,196.15,0.848564,0.0000150707,280.763,0.0000131387
80300,196.05,0.841205,0.0000149476,280.691,0.0000131328
80350,195.95,0.833905,0.0000148255,280.619,0.0000131269
80400,195.85,0.826666,0.0000147043,280.548,0.000013121
80450,195.75,0.819485,0.000014584,280.476,0.0000131151
80500,195.65,0.812363,0.0000144647,280.405,0.0000131092
80550,195.55,0.8053,0.0000143462,280.333,0.0000131033
80600,195.45,0.798294,0.0000142287,280.261,0.0000130974
80650,195.35,0.791346,0.0000141121,280.189,0.0000130915
80700,195.25,0.784455,0.0000139964,280.118,0.0000130856
80750,195.15,0.77762,0.0000138815,280.046,0.0000130797
80800,195.05,0.770842,0.0000137676,279.974,0.0000130738
80850,194.95,0.764119,0.0000136545,279.902,0.0000130679
80900,194.85,0.757451,0.0000135423,279.831,0.000013062
80950,194.75,0.750838,0.000013431,279.759,0.0000130561
81000,194.65,0.74428,0.0000133205,279.687,0.0000130502
81050,194.55,0.737775,0.0000132109,279.615,0.0000130443
81100,194.45,0.731324,0.0000131021,279.543,0.0000130384
81150,194.35,0.724926,0.0000129941,279.471,0.0000130325
81200,194.25,0.718581,0.000012887,279.399,0.0000130266
81250,194.15,0.712288,0.0000127808,279.328,0.0000130207
81300,194.05,0.706047,0.0000126753,279.256,0.0000130147
81350,193.95,0.699858,0.0000125707,279.184,0.0000130088
81400,193.85,0.69372,0.0000124668,279.112,0.0000130029
81450,193.75,0.687632,0.0000123638,279.04,0.000012997
81500,193.65,0.681595,0.0000122616,278.968,0.0000129911
81550,193.55,0.675607,0.0000121602,278.896,0.0000129851
81600,193.45,0.66967,0.0000120595,278.824,0.0000129792
81650,193.35,0.663781,0.0000119597,278.751,0.0000129733
81700,193.25,0.657941,0.0000118606,278.679,0.0000129674
81750,193.15,0.65215,0.0000117623,278.607,0.0000129614
81800,193.05,0.646406,0.0000116647,278.535,0.0000129555
81850,192.95,0.64071,0.0000115679,278.463,0.0000129496
81900,192.85,0.635062,0.0000114719,278.391,0.0000129437
81950,192.75,0.62946,0.0000113766,278.319,0.0000129377
82000,192.65,0.623905,0.000011282,278.246,0.0000129318
82050,192.55,0.618396,0.0000111882,278.174,0.0000129259
82100,192.45,0.612933,0.0000110952,278.102,0.0000129199
82150,192.35,0.607515,0.0000110028,278.03,0.000012914
82200,192.25,0.602143,0.0000109112,277.957,0.0000129081
82250,192.15,0.596815,0.0000108203,277.885,0.0000129021
82300,192.05,0.591532,0.0000107301,277.813,0.0000128962
82350,191.95,0.586292,0.0000106406,277.74,0.0000128902
82400,191.85,0.581097,0.0000105518,277.668,0.0000128843
82450,191.75,0.575945,0.0000104637,277.596,0.0000128784
82500,191.65,0.570835,0.0000103762,277.523,0.0000128724
82550,191.55,0.565769,0.0000102895,277.451,0.0000128665
82600,191.45,0.560745,0.0000102035,277.378,0.0000128605
82650,191.35,0.555763,0.0000101181,277.306,0.0000128546
82700,191.25,0.550822,0.0000100334,277.234,0.0000128486
82750,191.15,0.545923,0.00000994936,277.161,0.0000128427
82800,191.05,0.541065,0.00000986599,277.089,0.0000128367
82850,190.95,0.536248,0.00000978327,277.016,0.0000128308
82900,190.85,0.531471,0.0000097012,276.943,0.0000128248
82950,190.75,0.526734,0.00000961977,276.871,0.0000128189
83000,190.65,0.522037,0.00000953899,276.798,0.0000128129
83050,190.55,0.517379,0.00000945885,276.726,0.0000128069
83100,190.45,0.512761,0.00000937933,276.653,0.000012801
83150,190.35,0.508181,0.00000930045,276.58,0.000012795
83200,190.25,0.50364,0.00000922218,276.508,0.0000127891
83250,190.15,0.499137,0.00000914454,276.435,0.0000127831
83300,190.05,0.494672,0.00000906751,276.362,0.0000127771
83350,189.95,0.490245,0.00000899108,276.29,0.0000127712
83400,189.85,0.485855,0.00000891526,276.217,0.0000127652
83450,189.75,0.481502,0.00000884004,276.144,0.0000127592
83500,189.65,0.477186,0.00000876542,276.071,0.0000127533
83550,189.55,0.472906,0.00000869139,275.999,0.0000127473
83600,189.45,0.468662,0.00000861794,275.926,0.0000127413
83650,189.35,0.464455,0.00000854508,275.853,0.0000127354
83700,189.25,0.460282,0.00000847279,275.78,0.0000127294
83750,189.15,0.456146,0.00000840108,275.707,0.0000127234
83800,189.05,0.452044,0.00000832994,275.634,0.0000127174
83850,188.95,0.447977,0.00000825936,275.561,0.0000127115
83900,188.85,0.443944,0.00000818935,275.489,0.0000127055
83950,188.75,0.439945,0.00000811989,275.416,0.0000126995
84000,188.65,0.435981,0.00000805098,275.343,0.0000126935
84050,188.55,0.43205,0.00000798262,275.27,0.0000126876
84100,188.45,0.428153,0.00000791481,275.197,0.0000126816
84150,188.35,0.424288,0.00000784754,275.124,0.0000126756
84200,188.25,0.420457,0.0000077808,275.051,0.0000126696
84250,188.15,0.416658,0.0000077146,274.978,0.0000126636
84300,188.05,0.412891,0.00000764892,274.904,0.0000126576
84350,187.95,0.409157,0.00000758377,274.831,0.0000126516
84400,187.85,0.405454,0.00000751914,274.758,0.0000126457
84450,187.75,0.401783,0.00000745503,274.685,0.0000126397
84500,187.65,0.398143,0.00000739143,274.612,0.0000126337
84550,187.55,0.394534,0.00000732834,274.539,0.0000126277
84600,187.45,0.390956,0.00000726576,274.466,0.0000126217
84650,187.35,0.387409,0.00000720367,274.392,0.0000126157
